pair_id	severity	used_reviewer	days_between	feat_sha	feat_subject	fix_count	fix_subjects	shared_files
01	warning	None	3	a1f16e5	feat: define core data models for parsed JSONL sessions	2	1d70a8d fix: add message.id dedup for accurate token counting || 67f2780 fix: parse agent metadata from user.toolUseResult shape (#84) (#85)	src/agentfluent/core/session.py
02	warning	None	3	13e567c	feat: implement project discovery and JSONL session parser	2	1d70a8d fix: add message.id dedup for accurate token counting || 67f2780 fix: parse agent metadata from user.toolUseResult shape (#84) (#85)	src/agentfluent/core/parser.py,tests/unit/test_parser.py
03	warning	None	3	f74c773	feat: implement agent invocation extraction from sessions	1	67f2780 fix: parse agent metadata from user.toolUseResult shape (#84) (#85)	src/agentfluent/agents/extractor.py,tests/unit/test_extractor.py
04	warning	None	2	155cb1a	feat: implement execution analytics pipeline (#22-#27)	2	e1337fc fix: remove unused imports in test files caught by CI lint || 7ff9f79 fix: add opus-4-7 pricing, filter <synthetic>, quiet unknown-model warning (#78)	src/agentfluent/analytics/pricing.py,src/agentfluent/analytics/tokens.py,tests/unit/test_pricing.py,tests/unit/test_tokens.py,tests/unit/test_tools.py
05	warning	None	0	c870ad4	feat(security): add secrets-protection hooks for Claude Code sessions (#72) (#73)	1	67f2780 fix: parse agent metadata from user.toolUseResult shape (#84) (#85)	CLAUDE.md
06	warning	None	5	3a81554	feat(traces): implement subagent trace parser (#130)	2	e4d8589 fix(parser): merge content blocks across same-message_id fragments (#153) (#154) || 18248b3 fix(cli): route parse warnings to stderr with WARNING prefix (#206) (#213)	src/agentfluent/core/parser.py,tests/conftest.py,tests/unit/test_parser.py,tests/unit/test_traces_parser.py
07	warning	None	5	d2c040d	feat(diagnostics): add trace-level signal extraction and correlation rules (#107) (#135)	1	8f90cbf fix(schema): agent_type None instead of "" for cross-cutting findings (#207) (#218)	src/agentfluent/diagnostics/correlator.py,src/agentfluent/diagnostics/models.py
08	warning	None	5	942578e	feat(diagnostics): integrate trace diagnostics into analyze CLI (#108) (#136)	1	8f90cbf fix(schema): agent_type None instead of "" for cross-cutting findings (#207) (#218)	src/agentfluent/cli/formatters/helpers.py,src/agentfluent/cli/formatters/table.py,src/agentfluent/diagnostics/pipeline.py
09	warning	None	4	a274b3f	feat(diagnostics): add delegation clustering + subagent draft generation (#110) (#141)	2	d51734d fix(diagnostics): recalibrate cluster confidence thresholds (#167) (#178) || 8f90cbf fix(schema): agent_type None instead of "" for cross-cutting findings (#207) (#218)	src/agentfluent/cli/formatters/helpers.py,src/agentfluent/cli/formatters/table.py,src/agentfluent/diagnostics/delegation.py,src/agentfluent/diagnostics/models.py,src/agentfluent/diagnostics/pipeline.py,tests/unit/test_delegation.py
10	warning	None	4	a37c172	feat(diagnostics): add model-routing complexity + mismatch detection (#111) (#144)	2	d51734d fix(diagnostics): recalibrate cluster confidence thresholds (#167) (#178) || 8f90cbf fix(schema): agent_type None instead of "" for cross-cutting findings (#207) (#218)	src/agentfluent/diagnostics/correlator.py,src/agentfluent/diagnostics/delegation.py,src/agentfluent/diagnostics/models.py,src/agentfluent/diagnostics/pipeline.py
11	warning	None	4	3147314	feat(diagnostics): cross-reference model-mismatch into deduped delegation notes (#113) (#146)	2	d51734d fix(diagnostics): recalibrate cluster confidence thresholds (#167) (#178) || 8f90cbf fix(schema): agent_type None instead of "" for cross-cutting findings (#207) (#218)	src/agentfluent/diagnostics/delegation.py,src/agentfluent/diagnostics/models.py,src/agentfluent/diagnostics/pipeline.py,tests/unit/test_delegation.py
12	warning	None	0	d5a7471	feat(traces): retain model on SubagentTrace and use as model-routing fallback (#142) (#151)	1	e4d8589 fix(parser): merge content blocks across same-message_id fragments (#153) (#154)	tests/unit/test_traces_parser.py
13	warning	None	0	c742b2b	feat(scripts): add calibration notebook for diagnostics thresholds (#140) (#152)	1	d51734d fix(diagnostics): recalibrate cluster confidence thresholds (#167) (#178)	src/agentfluent/diagnostics/delegation.py,tests/unit/test_delegation.py
14	warning	None	3	b1b63a5	feat(diagnostics): extract MCP tool usage from traces + parent sessions (#116) (#157)	2	4ad8a7e fix(agents): default to general-purpose when subagent_type missing (#169) (#180) || 8f90cbf fix(schema): agent_type None instead of "" for cross-cutting findings (#207) (#218)	src/agentfluent/agents/extractor.py,src/agentfluent/diagnostics/mcp_assessment.py,tests/unit/test_mcp_assessment.py
15	warning	None	3	985d1a4	feat(diagnostics): add MCP audit rules for unused + missing servers (#118) (#158)	1	8f90cbf fix(schema): agent_type None instead of "" for cross-cutting findings (#207) (#218)	src/agentfluent/diagnostics/correlator.py,src/agentfluent/diagnostics/mcp_assessment.py,src/agentfluent/diagnostics/models.py,tests/unit/test_mcp_assessment.py
16	warning	None	3	e850082	feat(diagnostics): wire MCP audit into run_diagnostics pipeline (#119) (#159)	1	8f90cbf fix(schema): agent_type None instead of "" for cross-cutting findings (#207) (#218)	src/agentfluent/diagnostics/pipeline.py
17	warning	None	3	2fe7f65	feat(diagnostics): aggregate duplicate recommendations (#165) (#173)	2	33c52e1 fix(diagnostics): name signal type in aggregated message prefix (#181) (#182) || 8f90cbf fix(schema): agent_type None instead of "" for cross-cutting findings (#207) (#218)	src/agentfluent/cli/formatters/table.py,src/agentfluent/diagnostics/aggregation.py,src/agentfluent/diagnostics/correlator.py,src/agentfluent/diagnostics/models.py,src/agentfluent/diagnostics/pipeline.py,tests/unit/test_recommendation_aggregation.py
18	warning	None	3	a9502fb	feat(diagnostics): tailor recommendations for built-in agents (#166) (#176)	2	33c52e1 fix(diagnostics): name signal type in aggregated message prefix (#181) (#182) || 8f90cbf fix(schema): agent_type None instead of "" for cross-cutting findings (#207) (#218)	src/agentfluent/diagnostics/aggregation.py,src/agentfluent/diagnostics/correlator.py,src/agentfluent/diagnostics/models.py,tests/unit/test_recommendation_aggregation.py
19	warning	None	3	0ccc759	feat(diagnostics): surface copy-paste-ready YAML subagent draft (#168) (#177)	1	8f90cbf fix(schema): agent_type None instead of "" for cross-cutting findings (#207) (#218)	src/agentfluent/cli/formatters/table.py,src/agentfluent/diagnostics/models.py
20	warning	None	4	18e1ca4	feat(diagnostics): populate invocation_id on contributing recommendations (#197) (#220)	1	5afe6cf fix(diagnostics): filter PERMISSION_FAILURE false positives (#231) (#239)	src/agentfluent/diagnostics/trace_signals.py
21	info	True	2	ef05715	feat(glossary): structured YAML source + agentfluent explain CLI (#191) (#224)	1	5afe6cf fix(diagnostics): filter PERMISSION_FAILURE false positives (#231) (#239)	docs/GLOSSARY.md,src/agentfluent/glossary/terms.yaml
22	info	True	6	d4ba779	feat(diagnostics): subtract idle gaps from duration for outlier detection (#230) (#234)	4	5afe6cf fix(diagnostics): filter PERMISSION_FAILURE false positives (#231) (#239) || a9dee60 fix(diagnostics): bound is_error regex fallback to leading 200 chars (#238) (#240) || 1927b28 fix(diagnostics): bound MCP is_error regex fallback to leading window (#241) (#278) || 114acb9 fix(diagnostics): bound ERROR_REGEX scan to leading window in two sites (#281) (#334)	docs/GLOSSARY.md,src/agentfluent/diagnostics/signals.py,src/agentfluent/glossary/terms.yaml,src/agentfluent/traces/parser.py,tests/unit/test_signals.py,tests/unit/test_traces_parser.py
23	info	True	6	c5fdc80	feat(signals): IQR-based outlier detection (#186) + extractor consolidation (#235) (#236)	3	5afe6cf fix(diagnostics): filter PERMISSION_FAILURE false positives (#231) (#239) || 1927b28 fix(diagnostics): bound MCP is_error regex fallback to leading window (#241) (#278) || 114acb9 fix(diagnostics): bound ERROR_REGEX scan to leading window in two sites (#281) (#334)	docs/GLOSSARY.md,src/agentfluent/diagnostics/signals.py,src/agentfluent/glossary/terms.yaml,tests/unit/test_signals.py
24	warning	False	1	718595c	feat(diagnostics): parent-thread tool-burst extractor (#247) (#248)	1	1927b28 fix(diagnostics): bound MCP is_error regex fallback to leading window (#241) (#278)	src/agentfluent/traces/parser.py
25	warning	False	4	4170d12	feat(diagnostics): priority ranking + Top-N priority fixes summary (#172) (#266)	1	fb4cd54 fix(cli,diagnostics): cache_efficiency color direction + relativize config paths in messages (#348)	src/agentfluent/diagnostics/correlator.py
26	info	True	6	bf1e97e	feat(cli): agentfluent diff -- compare two analyze runs (#199) (#267)	2	fb4cd54 fix(cli,diagnostics): cache_efficiency color direction + relativize config paths in messages (#348) || 552cbe7 fix(diff): add Origin column to Token Metrics by Model table (#343) (#367)	README.md,src/agentfluent/cli/formatters/diff_table.py
27	info	True	2	b0cf957	feat(diagnostics): user-correction quality signal + quality_signals module (#269) (#302)	4	4127323 fix(diagnostics): suffix-match REVIEWER_CAUGHT mentioned vs edited paths (#322) (#324) || 0eed264 fix(diagnostics): tighten USER_CORRECTION precision (#321) (#325) || 2409621 fix(diagnostics): strip Claude Code skill-metadata from USER_CORRECTION scan (#330) (#332) || fb4cd54 fix(cli,diagnostics): cache_efficiency color direction + relativize config paths in messages (#348)	src/agentfluent/diagnostics/correlator.py,src/agentfluent/diagnostics/quality_signals.py,tests/unit/test_correlator.py,tests/unit/test_quality_signals.py
28	info	True	1	9b6f7c9	feat(core): extract first_message_timestamp during session discovery (#294) (#305)	1	92b4b19 fix(core): extract text from list-shape tool_result content (#319) (#320)	src/agentfluent/core/parser.py
29	info	True	2	ee0d98c	feat(diagnostics): file-rework density quality signal (#270) (#306)	4	4127323 fix(diagnostics): suffix-match REVIEWER_CAUGHT mentioned vs edited paths (#322) (#324) || 0eed264 fix(diagnostics): tighten USER_CORRECTION precision (#321) (#325) || 2409621 fix(diagnostics): strip Claude Code skill-metadata from USER_CORRECTION scan (#330) (#332) || fb4cd54 fix(cli,diagnostics): cache_efficiency color direction + relativize config paths in messages (#348)	src/agentfluent/diagnostics/correlator.py,src/agentfluent/diagnostics/quality_signals.py,tests/unit/test_correlator.py,tests/unit/test_quality_signals.py
30	info	True	2	c73f94b	feat(diagnostics): reviewer-caught quality signal + _QualityRule base (#271) (#308)	4	4127323 fix(diagnostics): suffix-match REVIEWER_CAUGHT mentioned vs edited paths (#322) (#324) || 0eed264 fix(diagnostics): tighten USER_CORRECTION precision (#321) (#325) || 2409621 fix(diagnostics): strip Claude Code skill-metadata from USER_CORRECTION scan (#330) (#332) || fb4cd54 fix(cli,diagnostics): cache_efficiency color direction + relativize config paths in messages (#348)	src/agentfluent/diagnostics/correlator.py,src/agentfluent/diagnostics/quality_signals.py,tests/unit/test_correlator.py,tests/unit/test_quality_signals.py
31	info	True	4	53a9202	feat(cli): axis labels on recommendations in CLI/JSON/diff (#273) (#315)	2	fb4cd54 fix(cli,diagnostics): cache_efficiency color direction + relativize config paths in messages (#348) || 552cbe7 fix(diff): add Origin column to Token Metrics by Model table (#343) (#367)	src/agentfluent/cli/formatters/diff_table.py
