signal_id	project	session	agent_type	keyword	matches_in_window	has_trace	trace_signal_types	output_text_len	match_offset	snippet	your_label
S0017	-home-fdpearce-Documents-Courses-DataTalksClub-projects-machine-learning-zoomcamp-sportswear-esg-news-classifier	5e59cbb4-7269-4a37-b632-33f84c2c56e7.jsonl	general-purpose	error	1	true	tool_error_sequence	14964	140	"Fresh workflow per run. So context staleness isn't an issue across runs (only within a run via shallow merge). Now let me think about the `error` key carry. Within a single run: `commit_and_push` returns `{""git_success"": False, ""error"": ""wrong_branch"", ""current_branch"": ..., ""expected_branch"": ...}`. These get merged into context. Then `send_error_notification` runs and reads them. OK. But"	
S0018	-home-fdpearce-Documents-Courses-DataTalksClub-projects-machine-learning-zoomcamp-sportswear-esg-news-classifier	5e59cbb4-7269-4a37-b632-33f84c2c56e7.jsonl	general-purpose	error	2	true	tool_error_sequence	10793	59	"Now I have enough. Let me also verify the validate_export ""errors"" key collision one more time: Looking at validate_export return at line 142: returns dict with key `""errors""` (a list). This gets merged into context via `update_context`. Now `commit_and_push` doesn't read `errors`, but in `send_error_notificatio"	
S0019	-home-fdpearce-Documents-Courses-DataTalksClub-projects-machine-learning-zoomcamp-sportswear-esg-news-classifier	5e59cbb4-7269-4a37-b632-33f84c2c56e7.jsonl	general-purpose	error	2	true	tool_error_sequence	10793	168	"Now I have enough. Let me also verify the validate_export ""errors"" key collision one more time: Looking at validate_export return at line 142: returns dict with key `""errors""` (a list). This gets merged into context via `update_context`. Now `commit_and_push` doesn't read `errors`, but in `send_error_notification`, line 324 reads `validation_errors = context.get(""errors"", [])` — this picks up the validation errors list"	
S0020	-home-fdpearce-Documents-Courses-DataTalksClub-projects-machine-learning-zoomcamp-sportswear-esg-news-classifier	5e59cbb4-7269-4a37-b632-33f84c2c56e7.jsonl	general-purpose	failed	1	true	retry_loop	9017	165	Now I notice: the wrong_branch return at line 220-225 includes `git_success: False` but NOT `git_skipped`. Whereas other failures within commit_and_push (validation_failed, website_repo_not_configured) return `git_skipped: True`. The discrepancy: `wrong_branch` is treated as an ERROR (correctly), `validation_failed` is treated as a SKIP (incorrectly?). If validation fails, send_error_notification picks it up via `vali	
S0015	-home-fdpearce-Documents-Projects-git-agentfluent	09c92e44-6941-435b-9f29-a7029d385d0b.jsonl	general-purpose	error	2	true	tool_error_sequence	2310	47	Looking at `signals.py`: - Line 65: `_extract_error_signals` — inside `for match in ERROR_REGEX.finditer(...)` inner loop. The `or` is recomputed for every regex match. A long output_text with many error keywords could compute it dozens of times per invocation. Trivial cost (two attribute reads + boo	
S0016	-home-fdpearce-Documents-Projects-git-agentfluent	09c92e44-6941-435b-9f29-a7029d385d0b.jsonl	general-purpose	error	2	true	tool_error_sequence	2310	85	Looking at `signals.py`: - Line 65: `_extract_error_signals` — inside `for match in ERROR_REGEX.finditer(...)` inner loop. The `or` is recomputed for every regex match. A long output_text with many error keywords could compute it dozens of times per invocation. Trivial cost (two attribute reads + bool check), but easily hoistable above t	
S0001	-home-fdpearce-Documents-Projects-git-agentfluent	2b898766-3cc4-454a-b892-c359c341ab19.jsonl	general-purpose	error	1	true	retry_loop	12002	33	Verified the naive timestamp TypeError issue. Now I'm ready to compile final findings. Let me also note one I want to double-check. Looking at `test_no_cache_bypasses_read_but_writes` more closely — the test uses the manual `cache_mod.set` to seed a stale value, then calls `gh_api(...	
S0002	-home-fdpearce-Documents-Projects-git-agentfluent	2b898766-3cc4-454a-b892-c359c341ab19.jsonl	general-purpose	error	2	true	retry_loop	17172	21	"Confirmed: `AttributeError` is NOT in `_GH_RECOVERABLE`. So if `(item.get(""user"") or {}).get(""login"")` fails with AttributeError (because `item[""user""]` is a non-None non-dict type like `""username""`), the exception propagates out of `_fetch_external_comment_count`. That bubbl"	
S0003	-home-fdpearce-Documents-Projects-git-agentfluent	2b898766-3cc4-454a-b892-c359c341ab19.jsonl	general-purpose	error	2	true	retry_loop	17172	123	"Confirmed: `AttributeError` is NOT in `_GH_RECOVERABLE`. So if `(item.get(""user"") or {}).get(""login"")` fails with AttributeError (because `item[""user""]` is a non-None non-dict type like `""username""`), the exception propagates out of `_fetch_external_comment_count`. That bubbles up to the pipeline's broad `except Exception` (line 360) which marks degraded but kills the WHOLE d"	
S0004	-home-fdpearce-Documents-Projects-git-agentfluent	5e92c86b-8b57-4c7e-8d57-3bb39f218d90.jsonl	anthropic-research	not found	1	false		169	32	Agent type 'anthropic-research' not found. Available agents: architect, claude, claude-code-guide, Explore, general-purpose, marketer, Plan, pm, statusline-setup, tester	
S0005	-home-fdpearce-Documents-Projects-git-agentfluent	5e92c86b-8b57-4c7e-8d57-3bb39f218d90.jsonl	anthropic-research	blocked	1	true	retry_loop,tool_error_sequence	1952	9	The hook blocked writes to the agent-memory directory. That is the correct data point to surface — the hook's allow-list covers `.claude/specs/research/` only, not `.claude/agent-memory/anthropic-research/`. The memory writes were blocked before anything leaked. --	
S0006	-home-fdpearce-Documents-Projects-git-agentfluent	7cdb2e77-ab76-4961-9847-9c0b2e8bb14c.jsonl	architect	error	1	true	retry_loop	1298	103	Review posted to issue #281. Here is the summary: **(a) Verdict on Option A mechanics:** Sound. `iter_error_matches` is the right DRY extraction, 200-char window reuse is justified by the data, and the helper centralizes the regex dispatch as a single replacement point if the detector evolves later. No blocking concerns. **(b) Positions on Q1 and Q2:** B	
S0013	-home-fdpearce-Documents-Projects-git-agentfluent	8d0cff80-85e0-4b32-abc8-062bac224fc4.jsonl	general-purpose	error	1	true		1921	42	Confirmed call site analysis. `_detect_is_error` is called once per tool_use at line 164, inside `_pair_tool_calls()`. No redundant calls. ## Findings **The change is a clear win in the hot path.** `_detect_is_error` runs once per tool_use/tool_result pair during JSONL parsing (`parser.py:164`)	
S0007	-home-fdpearce-Documents-Projects-git-agentfluent	b40dbafc-97bc-4a3c-9388-7f2ccf38b7da.jsonl	general-purpose	error	1	true	retry_loop	3450	113	"I now have a complete picture. Let me give the report. # Code-reuse review: PR #312 ## 1. Existing `_exit_with_error`-style helpers **None exist.** Every command (`analyze.py:218-256`, `list_cmd.py:60,109`, `explain.py:135-176`, `diff_cmd.py:156`, `config_check.py:99-118`, `main.py:106`) inlines the `err_console.print(""[red]...[/red]""); raise typer.Exit(code=...)"	
S0008	-home-fdpearce-Documents-Projects-git-agentfluent	b40dbafc-97bc-4a3c-9388-7f2ccf38b7da.jsonl	general-purpose	error	1	true		2938	69	Findings: ## Code-reuse review for PR #313 ### 1. Flag-interaction error pattern — inconsistent with `--verbose`/`--quiet`, consistent with sklearn `src/agentfluent/cli/commands/analyze.py:217-222` — the new `--session` + `--since/--until` rejection uses the **`err_console.print(...) + typer.Exit(EXIT_USER_ERROR)`** pat	
S0009	-home-fdpearce-Documents-Projects-git-agentfluent	c266bcf2-3a8d-4014-a926-1dcbbb784887.jsonl	general-purpose	error	1	true		2515	59	I have enough. The two test files both exercise `detect_is_error_from_text` end-to-end through different stacks (parse_subagent_trace vs extract_mcp_calls_from_messages), so a shared helper would only deduplicate the padding string — minor. The bigger finding is the two unbounded `ERROR_REGEX` sites the refactor	
